iter	Passed	Remaining
399	33071	8267
400	33152	8184
401	33232	8101
402	33312	8018
403	33393	7934
404	33479	7853
405	33558	7769
406	33637	7686
407	33718	7603
408	33797	7519
409	33878	7436
410	33958	7353
411	34038	7270
412	34117	7186
413	34197	7103
414	34276	7020
415	34357	6937
416	34435	6854
417	34514	6770
418	34593	6687
419	34673	6604
420	34751	6521
421	34830	6437
422	34908	6354
423	34987	6271
424	35069	6188
425	35149	6105
426	35229	6022
427	35310	5940
428	35390	5857
429	35469	5774
430	35548	5691
431	35628	5608
432	35707	5525
433	35790	5442
434	35873	5360
435	35951	5277
436	36029	5194
437	36109	5111
438	36186	5028
439	36266	4945
440	36346	4862
441	36426	4779
442	36507	4697
443	36588	4614
444	36668	4532
445	36747	4449
446	36827	4366
447	36906	4283
448	36989	4201
449	37069	4118
450	37147	4036
451	37232	3953
452	37310	3871
453	37394	3788
454	37478	3706
455	37572	3625
456	37653	3542
457	37770	3463
458	37979	3392
459	38066	3310
460	38150	3227
461	38230	3144
462	38312	3061
463	38392	2978
464	38482	2896
465	38568	2813
466	38647	2730
467	38730	2648
468	38810	2565
469	38888	2482
470	38971	2399
471	39054	2316
472	39136	2234
473	39219	2151
474	39300	2068
475	39380	1985
476	39460	1902
477	39543	1819
478	39627	1737
479	39708	1654
480	39788	1571
481	39869	1488
482	39949	1406
483	40030	1323
484	40109	1240
485	40190	1157
486	40269	1074
487	40348	992
488	40427	909
489	40508	826
490	40587	743
491	40666	661
492	40744	578
493	40824	495
494	40905	413
495	40986	330
496	41067	247
497	41147	165
498	41226	82
499	41306	0
