iter	MultiClass
312	0.135685024
313	0.1352992457
314	0.134501184
315	0.1341515068
316	0.1336811073
317	0.1329896102
318	0.132379579
319	0.1319112322
320	0.1315290264
321	0.1309692982
322	0.1303973143
323	0.1300551337
324	0.1296475027
325	0.1291659252
326	0.1288382535
327	0.1285910927
328	0.1283173042
329	0.1279997755
330	0.127571253
331	0.1273423826
332	0.1267805306
333	0.1261355754
334	0.1257715713
335	0.1251148729
336	0.124485871
337	0.1242284002
338	0.1239152649
339	0.1236344748
340	0.1231511658
341	0.1227317954
342	0.1223825341
343	0.1220171039
344	0.1216409279
345	0.1212973922
346	0.1208955352
347	0.1204400237
348	0.120047454
349	0.1196975077
350	0.1194837438
351	0.1190611267
352	0.11868377
353	0.1183708078
354	0.1181272906
355	0.1179883355
356	0.1175221567
357	0.1171945046
358	0.1167288841
359	0.1165217901
360	0.1161351855
361	0.1157880063
362	0.1155297928
363	0.1150375577
364	0.1144550723
365	0.1142124827
366	0.1139070737
367	0.1135987587
368	0.1134016456
369	0.112816707
370	0.1125625862
371	0.1120094459
372	0.1116853884
373	0.1112579112
374	0.1109301998
375	0.1104195786
376	0.1099961494
377	0.1097530179
378	0.109196053
379	0.1090226823
380	0.1086596152
381	0.1083857812
382	0.1080512125
383	0.107801397
384	0.1075173629
385	0.1073016197
386	0.1070300953
387	0.106677271
388	0.106261342
389	0.105967171
390	0.1056783389
391	0.1054144641
392	0.1051419433
393	0.1049023132
394	0.1046137907
395	0.1042861052
396	0.1040530269
397	0.1036692379
398	0.10329353
399	0.1030301392
400	0.1027672858
401	0.1025718434
402	0.1023440792
403	0.1021201983
404	0.1016665757
405	0.1013646187
406	0.1011431389
407	0.1008898766
408	0.1006436135
409	0.1003210005
410	0.09981983566
411	0.09957049135
412	0.09912470031
413	0.09870702984
414	0.09841964642
415	0.09824316648
416	0.09788759201
417	0.09759036009
418	0.09720512799
419	0.0969145076
420	0.09665037147
421	0.09654462108
422	0.09631609417
423	0.09609338782
424	0.09588156707
425	0.0955713447
426	0.09525684201
427	0.09486874101
428	0.09461961206
429	0.09441253609
430	0.09404819515
431	0.09378169264
432	0.09355529336
433	0.09325451513
434	0.09296164099
435	0.09273412575
436	0.09251361017
437	0.09236054828
438	0.0920457669
439	0.09179148167
440	0.0915919054
441	0.09123480871
442	0.09100029054
443	0.09083058817
444	0.09061482623
445	0.09048070979
446	0.09024507618
447	0.09005598818
448	0.08967642213
449	0.08944366247
450	0.0892189711
451	0.08904814234
452	0.08882314545
453	0.08854696701
454	0.08826747066
455	0.08810006462
456	0.08795527913
457	0.08767133627
458	0.08741343523
459	0.08729975007
460	0.08695882231
461	0.08683798945
462	0.08659446196
463	0.08638094992
464	0.08607538125
465	0.08584632295
466	0.08556341005
467	0.08529180373
468	0.0850486535
469	0.08480035732
470	0.08467154673
471	0.08445686809
472	0.08412380412
473	0.0838479407
474	0.08354562895
475	0.08333822162
476	0.0830574695
477	0.08280214712
478	0.08265392725
479	0.08246089779
480	0.08223494092
481	0.08198163234
482	0.08171318727
483	0.08153503371
484	0.08127061552
485	0.08111047286
486	0.08096248955
487	0.0806984772
488	0.08051397708
489	0.08033008342
490	0.08015347058
491	0.07993895937
492	0.07980904599
493	0.07963092693
494	0.0793746907
495	0.07915711984
496	0.07883567418
497	0.07861462365
498	0.07847400605
499	0.07822415983
