iter	MultiClass
0	1.521509674
1	1.443729702
2	1.374245865
3	1.312092783
4	1.256278665
5	1.211523147
6	1.165824915
7	1.126072941
8	1.087410133
9	1.053504853
10	1.021449742
11	0.9901410184
12	0.9627255734
13	0.9376816781
14	0.9138981422
15	0.8955214622
16	0.8747214035
17	0.8549898335
18	0.8367858486
19	0.818000379
20	0.8012038162
21	0.7838560139
22	0.7673692388
23	0.7573033485
24	0.7436418446
25	0.7314275967
26	0.7170420826
27	0.7052432549
28	0.6961349779
29	0.6864706219
30	0.6742998841
31	0.6650842352
32	0.6568430956
33	0.6483682869
34	0.6390541585
35	0.6290826201
36	0.6211332771
37	0.613336397
38	0.6072564477
39	0.5987383583
40	0.5911596898
41	0.584421206
42	0.5766841434
43	0.5716698608
44	0.5651250083
45	0.5596305616
46	0.5532803608
47	0.54653566
48	0.541567705
49	0.5368951084
50	0.5318802476
51	0.5272381675
52	0.5218960336
53	0.5185469173
54	0.5150959518
55	0.5105607913
56	0.5055775757
57	0.5003174133
58	0.4960571151
59	0.4914317255
60	0.4860397995
61	0.4826458234
62	0.4785566311
63	0.4736164398
64	0.4686136779
65	0.4640693473
66	0.4618666373
67	0.4582989635
68	0.4542419823
69	0.4508387539
70	0.4461596468
71	0.4415884372
72	0.4380647795
73	0.4336780209
74	0.4303836139
75	0.4262957757
76	0.4216862773
77	0.4180459963
78	0.4160344104
79	0.4125537598
80	0.4093694284
81	0.4060381243
82	0.4039123142
83	0.4015172336
84	0.3973440122
85	0.3937156109
86	0.3900751084
87	0.3879059318
88	0.3850423653
89	0.3823338948
90	0.3802426034
91	0.3781489709
92	0.3753492874
93	0.3729118237
94	0.3694464233
95	0.367519743
96	0.3666756344
97	0.3643545253
98	0.362411938
99	0.3600643716
100	0.3570834197
101	0.3553661045
102	0.3524161996
103	0.3491129295
104	0.3465406528
105	0.3444483195
106	0.3418454125
107	0.3393651317
108	0.3364143361
109	0.334485652
110	0.3318770493
111	0.329357339
112	0.3277699502
113	0.3260204515
114	0.3241261351
115	0.3232677826
116	0.3207891071
117	0.3191219956
118	0.3166193455
119	0.3148637684
120	0.312310593
121	0.31055991
122	0.3089171601
123	0.3073342463
124	0.3057931304
125	0.3036071373
126	0.3016411381
127	0.2998358773
128	0.2982321456
129	0.29624004
130	0.2938248065
131	0.2914623171
132	0.2897819199
133	0.2879854257
134	0.2858776851
135	0.2842966353
136	0.2827074241
137	0.2814785696
138	0.2804532706
139	0.278532089
140	0.2772786261
141	0.2766327418
142	0.2745498116
143	0.273068281
144	0.2717062292
145	0.2701991678
146	0.2694379956
147	0.2679699544
148	0.2659320428
149	0.2649206708
150	0.2636767897
151	0.2620718606
152	0.2612984768
153	0.260158949
154	0.2591402584
155	0.2576367479
156	0.2564755635
157	0.255209729
158	0.2542136835
159	0.2534150155
160	0.2519393452
161	0.2502805102
162	0.2491822063
163	0.246934626
164	0.2462111691
165	0.2445084444
166	0.2438043309
167	0.2424718868
168	0.2406239617
169	0.2398309051
170	0.2387196835
171	0.2374864654
172	0.2364635922
173	0.2352292117
174	0.2338459206
175	0.2330270944
176	0.2321583553
177	0.2306664775
178	0.229175515
179	0.2281957805
180	0.226987571
181	0.2258503521
182	0.2239925375
183	0.2226619415
184	0.2219689781
185	0.2211520068
186	0.2199128632
187	0.2186307324
188	0.2180287288
189	0.2175240796
190	0.2164108663
191	0.2157369847
192	0.2145395567
193	0.2137907539
194	0.2132658074
195	0.2118305053
196	0.2111527637
197	0.2102425585
198	0.2090658708
199	0.2080860644
200	0.2072696124
201	0.2061436726
202	0.2049764268
203	0.2036929607
204	0.2025156168
205	0.2016666118
206	0.2011096675
207	0.2003851042
208	0.1996471515
209	0.1985280811
210	0.1976095067
211	0.1969554709
212	0.1962908271
213	0.1955222167
214	0.1945229601
215	0.1937111931
216	0.1929071373
217	0.1924515337
218	0.1916673904
219	0.1910347026
220	0.1905676335
221	0.1899850913
222	0.189188969
223	0.1884148383
224	0.1874688485
225	0.1865650039
226	0.1857382113
227	0.1849920012
228	0.1841402028
229	0.1832230989
230	0.1822044202
231	0.1810984402
232	0.1800946669
233	0.1793821233
234	0.1790418274
235	0.1784131885
236	0.1774081527
237	0.17671145
238	0.1762146676
239	0.1753379421
240	0.174545709
241	0.1739093296
242	0.1732513339
243	0.1728542183
244	0.1724491706
245	0.1718965007
246	0.1711074272
247	0.1705935885
248	0.169706829
249	0.1690811601
250	0.1686465909
251	0.1680939704
252	0.1676796833
253	0.1668817162
254	0.1663269306
255	0.1656119106
256	0.1649475232
257	0.164117228
258	0.1634586727
259	0.1627463526
260	0.1619383801
261	0.1614405977
262	0.160699195
263	0.1602766203
264	0.159529328
265	0.1590196296
266	0.1584463493
267	0.1578623615
268	0.1570533424
269	0.1564394834
270	0.1559190835
271	0.1554932691
272	0.1548791408
273	0.1542616349
274	0.1534737879
275	0.1529837224
276	0.1524714845
277	0.1521331376
278	0.1515266794
279	0.1509090944
280	0.1502195106
281	0.1497187267
282	0.1493597008
283	0.1487862799
284	0.1481834954
285	0.1475248062
286	0.1470178305
287	0.1466382007
288	0.1461858748
289	0.1457536233
290	0.1450567015
291	0.1446212529
292	0.1440343961
293	0.1436475431
294	0.1431231237
295	0.1428880758
296	0.1424993341
297	0.1422011074
298	0.1416955855
299	0.1412565958
300	0.1408412942
301	0.1404882232
302	0.1401465248
303	0.1396827869
304	0.1389726341
305	0.1385827581
306	0.1381796083
307	0.1377337341
308	0.1373046695
309	0.137122093
310	0.1364970679
311	0.1361594038
